Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20181001;1;14800;14878,950
20181001;2;14400;14456,888
20181001;3;14200;14335,488
20181001;4;14400;14358,488
20181001;5;15000;14781,700
20181001;6;16800;15847,225
20181001;7;20000;18694,925
20181001;8;21400;20767,238
20181001;9;22150;21890,463
20181001;10;22300;22170,700
20181001;11;22150;21887,475
20181001;12;22300;22036,163
20181001;13;22350;22082,925
20181001;14;22450;21979,600
20181001;15;22000;21580,913
20181001;16;21700;21450,475
20181001;17;21350;21210,513
20181001;18;21400;21260,313
20181001;19;23400;22063,750
20181001;20;23600;23207,438
20181001;21;22700;22551,900
20181001;22;21200;20881,700
20181001;23;19500;19138,950
20181001;24;18000;17884,150
20181002;1;17050;16879,425
20181002;2;16500;16413,538
20181002;3;16150;15972,113
20181002;4;16250;16061,888
20181002;5;16750;16384,900
20181002;6;18050;17223,063
20181002;7;20650;19591,900
20181002;8;21800;21524,325
20181002;9;22450;22498,738
20181002;10;22450;22749,063
20181002;11;22450;22574,775
20181002;12;22550;22851,388
20181002;13;22600;22897,338
20181002;14;22650;22813,388
20181002;15;22250;22344,963
20181002;16;22150;22210,800
20181002;17;21850;21895,613
20181002;18;21850;21782,500
20181002;19;23500;22650,863
20181002;20;23700;23735,688
20181002;21;22800;23024,213
20181002;22;21150;21318,875
20181002;23;19450;19606,100
20181002;24;18050;18218,388
20181003;1;17000;17135,050
20181003;2;16500;16542,338
20181003;3;16200;16264,200
20181003;4;16300;16274,688
20181003;5;16700;16507,513
20181003;6;18000;17248,475
20181003;7;20550;19621,475
20181003;8;21900;21354,300
20181003;9;22500;22446,663
20181003;10;22550;22679,663
20181003;11;22600;22537,063
20181003;12;22700;22762,375
20181003;13;22800;22696,988
20181003;14;22800;22624,825
20181003;15;22400;22262,275
20181003;16;22100;22002,650
20181003;17;21900;21701,438
20181003;18;22000;21658,738
20181003;19;23700;22566,800
20181003;20;23800;23640,613
20181003;21;22750;23009,463
20181003;22;21150;21333,263
20181003;23;19450;19582,450
20181003;24;18150;18076,650
20181004;1;16950;17114,413
