Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20190801;1;16650;16100,800
20190801;2;15900;15509,888
20190801;3;15550;15290,500
20190801;4;15450;15214,413
20190801;5;15350;15144,000
20190801;6;16050;15195,400
20190801;7;18900;17240,963
20190801;8;20500;19234,375
20190801;9;21550;20388,400
20190801;10;21850;20927,575
20190801;11;22050;21081,775
20190801;12;22150;21485,500
20190801;13;22300;21641,550
20190801;14;22300;21563,175
20190801;15;22000;21184,500
20190801;16;21600;20892,588
20190801;17;21250;20641,325
20190801;18;20900;20320,975
20190801;19;20750;20077,825
20190801;20;20900;20126,925
20190801;21;21150;20463,300
20190801;22;21000;20174,850
20190801;23;19500;18849,550
20190801;24;17900;17403,325
20190802;1;15650;16121,988
20190802;2;14900;15529,275
20190802;3;14550;15188,575
20190802;4;14450;15159,025
20190802;5;14350;15241,588
20190802;6;15150;15263,475
20190802;7;18700;17205,563
20190802;8;20200;19083,088
20190802;9;21050;20228,613
20190802;10;21350;20764,100
20190802;11;21550;20864,900
20190802;12;21750;21146,950
20190802;13;21900;21285,300
20190802;14;21900;21157,013
20190802;15;21600;20797,513
20190802;16;21200;20571,600
20190802;17;20850;20273,263
20190802;18;20500;19938,350
20190802;19;20350;19663,575
20190802;20;20500;19718,625
20190802;21;20750;19836,663
20190802;22;20600;19807,463
20190802;23;19300;18382,950
20190802;24;17700;17035,463
20190803;1;16200;15825,325
20190803;2;15600;15078,400
20190803;3;15200;14678,275
20190803;4;15000;14551,575
20190803;5;14600;14389,600
20190803;6;14400;13975,188
20190803;7;15900;14864,413
20190803;8;17200;16200,513
20190803;9;18400;17372,013
20190803;10;18900;18204,700
20190803;11;19200;18559,725
20190803;12;19300;18654,688
20190803;13;19300;18505,763
20190803;14;19100;18191,238
20190803;15;18500;17673,363
20190803;16;18300;17481,588
20190803;17;18100;17331,925
20190803;18;17900;17112,688
20190803;19;17700;17000,100
20190803;20;17900;17189,100
20190803;21;18200;17368,900
20190803;22;18000;17452,113
20190803;23;17000;16435,775
20190803;24;15800;15193,100
20190804;1;13800;14101,313
20190804;2;13200;13456,075
20190804;3;12800;13099,375
20190804;4;12500;12863,825
20190804;5;12300;12772,238
20190804;6;11800;12244,625
20190804;7;12600;12578,588
20190804;8;14200;13477,888
20190804;9;15000;14255,525
20190804;10;15800;14992,788
20190804;11;16100;15424,700
20190804;12;16200;15715,850
20190804;13;16300;15719,288
20190804;14;16300;15666,475
20190804;15;16100;15317,125
20190804;16;15700;15137,713
20190804;17;15600;15040,388
20190804;18;15700;15124,425
20190804;19;15900;15416,488
20190804;20;16200;15803,775
20190804;21;16800;16294,863
20190804;22;16900;16757,338
20190804;23;16300;15962,588
20190804;24;15300;14837,013
20190805;1;13600;14017,913
20190805;2;13100;13599,938
20190805;3;12900;13387,138
20190805;4;12900;13470,113
20190805;5;13000;13619,525
20190805;6;14200;13824,225
20190805;7;17900;16386,450
20190805;8;19800;18538,488
20190805;9;20700;19851,150
20190805;10;20900;20492,638
20190805;11;21300;20582,425
20190805;12;21500;20891,825
20190805;13;21600;21064,100
20190805;14;21600;21085,450
20190805;15;21200;20806,050
20190805;16;20800;20687,538
20190805;17;20500;20411,075
20190805;18;20300;20170,313
20190805;19;20000;20032,713
20190805;20;20000;20216,363
20190805;21;20700;20562,163
20190805;22;20300;20226,575
20190805;23;18800;18472,113
20190805;24;17300;17034,813
20190806;1;16150;15846,163
20190806;2;15550;15308,375
20190806;3;15250;14994,375
20190806;4;15200;15008,338
20190806;5;15200;15126,138
20190806;6;15850;15119,113
20190806;7;18750;17154,913
20190806;8;20250;19270,863
20190806;9;21050;20529,175
20190806;10;21350;21126,663
20190806;11;21700;21302,413
20190806;12;21850;21645,063
20190806;13;21950;21866,463
20190806;14;21950;21776,575
20190806;15;21550;21577,000
20190806;16;21250;21448,575
20190806;17;20850;21124,913
20190806;18;20450;20662,050
20190806;19;20350;20368,413
20190806;20;20400;20661,763
20190806;21;20800;20947,625
20190806;22;20700;20563,950
20190806;23;19400;18822,875
20190806;24;17850;17344,663
20190807;1;16000;16316,838
20190807;2;15300;15765,075
20190807;3;15100;15393,663
20190807;4;15100;15414,688
20190807;5;15100;15569,863
20190807;6;15600;15580,188
20190807;7;18300;17642,275
20190807;8;19900;19746,038
20190807;9;20800;20926,888
20190807;10;21100;21610,688
20190807;11;21500;21613,563
20190807;12;21700;22018,675
20190807;13;21900;22092,213
20190807;14;21900;22138,263
20190807;15;21500;21735,263
20190807;16;21200;21618,350
20190807;17;20900;21237,413
20190807;18;20600;20936,938
20190807;19;20500;20614,438
20190807;20;20500;20647,025
20190807;21;21200;21098,925
20190807;22;20900;20548,338
20190807;23;19200;18883,113
20190807;24;17600;17481,613
20190808;1;15800;16434,163
20190808;2;15100;15844,675
20190808;3;14900;15502,688
20190808;4;14900;15511,188
20190808;5;14900;15444,775
20190808;6;15600;15410,038
20190808;7;18800;17457,350
20190808;8;20400;19503,463
20190808;9;21600;20618,638
20190808;10;21800;21184,813
20190808;11;22200;21119,900
20190808;12;22400;21425,063
20190808;13;22600;21526,838
20190808;14;22600;21615,138
20190808;15;22200;21292,613
20190808;16;21900;21117,450
20190808;17;21600;20758,200
