Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20201101;1;14900;15083,563
20201101;2;14200;14495,800
20201101;3;13800;14109,000
20201101;4;13700;13910,263
20201101;5;13700;13952,275
20201101;6;13700;13998,750
20201101;7;13900;13950,450
20201101;8;14900;14441,488
20201101;9;15400;15261,613
20201101;10;15600;16025,238
20201101;11;15600;16461,738
20201101;12;15600;16690,713
20201101;13;15600;16896,838
20201101;14;15600;17003,650
20201101;15;15400;16761,688
20201101;16;15600;16563,488
20201101;17;16900;17251,713
20201101;18;17300;18027,400
20201101;19;17500;18225,575
20201101;20;17500;18157,700
20201101;21;17200;17812,138
20201101;22;16500;16962,325
20201101;23;15800;16272,850
20201101;24;14700;15252,075
20201102;1;14200;14565,913
20201102;2;14000;14139,338
20201102;3;14000;14054,675
20201102;4;14200;14106,350
20201102;5;15000;14601,750
20201102;6;16900;15637,388
20201102;7;20100;18400,713
20201102;8;21700;20565,813
20201102;9;22600;22049,638
20201102;10;22700;22619,575
20201102;11;22900;22886,113
20201102;12;22900;23242,813
20201102;13;23100;23396,725
20201102;14;23200;23329,875
20201102;15;22700;22857,813
20201102;16;22800;22825,613
20201102;17;23900;23353,800
20201102;18;24100;23688,475
20201102;19;23700;23342,913
20201102;20;23600;23120,263
20201102;21;22800;22364,250
20201102;22;21400;20938,338
20201102;23;19700;19427,475
20201102;24;18300;18221,413
20201103;1;17200;17275,088
20201103;2;16600;16648,113
20201103;3;16400;16301,650
20201103;4;16500;16367,625
20201103;5;16900;16680,038
20201103;6;18300;17363,450
20201103;7;21000;19491,863
20201103;8;22400;21514,363
20201103;9;23000;22784,263
20201103;10;23000;23117,825
20201103;11;22900;23064,275
20201103;12;23000;23207,163
20201103;13;23100;23135,638
20201103;14;23200;23091,888
20201103;15;22800;22699,838
20201103;16;22900;22612,488
20201103;17;24200;23241,713
20201103;18;24200;23925,663
20201103;19;23800;23585,588
20201103;20;23600;23513,738
20201103;21;22900;22775,050
20201103;22;21400;21260,550
20201103;23;19800;19592,550
20201103;24;18500;18355,463
20201104;1;16900;17365,788
20201104;2;16500;16763,275
20201104;3;16400;16523,413
20201104;4;16400;16515,975
20201104;5;16800;16817,338
20201104;6;18300;17417,563
20201104;7;21300;19560,713
20201104;8;22700;21530,863
20201104;9;23200;22816,438
20201104;10;23200;23265,363
20201104;11;23100;23232,438
20201104;12;23200;23574,988
20201104;13;23300;23602,688
20201104;14;23400;23353,513
20201104;15;23000;22854,513
20201104;16;23200;22836,700
20201104;17;24400;23494,200
20201104;18;24300;23733,875
20201104;19;23900;23476,450
20201104;20;23700;23304,863
20201104;21;22800;22586,125
20201104;22;21500;21148,450
20201104;23;19700;19707,163
20201104;24;18400;18493,638
20201105;1;17200;17415,225
20201105;2;16600;16966,600
20201105;3;16300;16610,350
20201105;4;16500;16661,475
20201105;5;17000;16986,363
20201105;6;18100;17721,138
20201105;7;21100;19695,338
20201105;8;22600;21668,638
20201105;9;23400;22850,813
20201105;10;23400;23271,625
20201105;11;23400;23240,038
20201105;12;23500;23370,800
20201105;13;23600;23287,500
20201105;14;23700;23115,863
20201105;15;23100;22646,338
20201105;16;23300;22731,775
20201105;17;24300;23538,175
20201105;18;24300;24067,113
20201105;19;23900;23691,000
20201105;20;23800;23553,225
20201105;21;22900;22811,575
20201105;22;21500;21380,300
20201105;23;19900;19916,338
20201105;24;18400;18646,738
20201106;1;17200;17603,813
20201106;2;16700;17052,163
20201106;3;16500;16738,700
20201106;4;16500;16752,675
20201106;5;16900;17165,700
20201106;6;18400;17836,050
20201106;7;21000;19932,738
20201106;8;22700;21763,625
20201106;9;23300;22873,313
20201106;10;23300;23255,075
20201106;11;23400;23339,325
20201106;12;23500;23678,038
20201106;13;23500;23775,900
20201106;14;23500;23555,300
20201106;15;23000;23065,700
20201106;16;22900;23052,963
20201106;17;24300;23627,238
20201106;18;24200;23935,113
20201106;19;23800;23529,263
20201106;20;23600;23238,400
20201106;21;22700;22475,200
20201106;22;21300;21116,238
20201106;23;19700;19555,375
20201106;24;18400;18397,713
20201107;1;17100;17431,888
20201107;2;16400;16703,913
20201107;3;16000;16397,013
20201107;4;15900;16291,175
20201107;5;15900;16304,625
20201107;6;16000;16564,500
20201107;7;17400;17333,238
20201107;8;18700;18227,200
20201107;9;19900;19446,438
20201107;10;20600;20456,300
20201107;11;20900;20911,050
20201107;12;20900;21073,100
20201107;13;20800;20951,975
20201107;14;20400;20683,475
20201107;15;19700;20016,450
20201107;16;19800;19957,413
20201107;17;21200;20725,288
20201107;18;21200;21099,450
20201107;19;20700;20798,163
20201107;20;20400;20395,363
20201107;21;19800;19704,438
20201107;22;18700;18620,338
20201107;23;17600;17413,563
20201107;24;16400;16470,925
20201108;1;15100;15492,163
20201108;2;14500;14971,288
20201108;3;14000;14658,063
20201108;4;13900;14523,413
20201108;5;13900;14540,863
20201108;6;14100;14680,375
20201108;7;14400;14829,488
20201108;8;15300;15339,000
20201108;9;16600;16321,638
20201108;10;17300;17054,363
20201108;11;17600;17660,988
20201108;12;17800;17943,338
20201108;13;17800;18078,313
20201108;14;17700;17898,950
20201108;15;17500;17605,825
20201108;16;17500;17482,713
20201108;17;18900;18550,400
20201108;18;19000;19173,500
20201108;19;19000;19215,413
20201108;20;19000;19174,788
20201108;21;18300;18728,250
20201108;22;17500;17860,275
20201108;23;16700;17148,213
20201108;24;15800;16247,200
20201109;1;15000;15515,963
20201109;2;14600;15110,188
20201109;3;14400;14995,700
20201109;4;14700;15076,963
20201109;5;15200;15437,688
20201109;6;17200;16445,488
20201109;7;20100;19147,163
20201109;8;22000;21305,900
20201109;9;22900;22631,463
20201109;10;22900;23174,975
20201109;11;23100;23250,375
20201109;12;23100;23612,488
20201109;13;23100;23629,263
20201109;14;23200;23535,163
20201109;15;22800;23216,188
20201109;16;22700;23180,500
20201109;17;24100;23834,525
20201109;18;24100;23971,588
20201109;19;23700;23600,363
20201109;20;23600;23332,638
20201109;21;22800;22526,588
20201109;22;21300;21056,538
20201109;23;19800;19640,088
20201109;24;18400;18362,050
20201110;1;17500;17343,650
20201110;2;17000;16792,813
20201110;3;16800;16481,300
20201110;4;17000;16515,350
20201110;5;17400;16793,425
20201110;6;18600;17563,875
20201110;7;21100;19756,500
20201110;8;22600;21853,513
20201110;9;23500;23166,425
20201110;10;23400;23599,788
20201110;11;23600;23655,138
20201110;12;23700;24007,975
20201110;13;23700;23959,263
20201110;14;23700;23922,750
20201110;15;23200;23613,938
20201110;16;23200;23418,150
20201110;17;24300;23999,250
20201110;18;24100;24059,163
20201110;19;23700;23550,300
20201110;20;23500;23288,613
20201110;21;22800;22447,938
20201110;22;21500;21024,725
20201110;23;19900;19542,363
20201110;24;18600;18345,775
20201111;1;16500;17334,263
20201111;2;15900;16682,213
20201111;3;15500;16286,050
20201111;4;15400;16142,038
20201111;5;15300;16107,663
20201111;6;15000;15920,888
20201111;7;14600;15836,375
20201111;8;15300;16344,475
20201111;9;16500;17421,463
20201111;10;17500;18446,938
20201111;11;17900;19229,000
20201111;12;18150;19745,113
20201111;13;18200;19863,150
20201111;14;18200;20087,275
20201111;15;17800;19699,763
20201111;16;17800;19429,575
20201111;17;19100;20049,975
20201111;18;19200;20246,963
20201111;19;19250;20124,313
20201111;20;19200;19776,425
20201111;21;18600;19271,950
20201111;22;17800;18406,213
20201111;23;17100;17646,200
20201111;24;16200;16625,038
20201112;1;15300;15864,913
20201112;2;15000;15339,163
20201112;3;14900;15102,313
20201112;4;15100;15113,325
20201112;5;15700;15575,663
20201112;6;17300;16511,613
20201112;7;20400;19314,938
20201112;8;22400;21427,900
20201112;9;23300;22967,013
20201112;10;23500;23493,313
20201112;11;23700;23652,588
20201112;12;23800;24071,875
20201112;13;23900;24192,838
20201112;14;23900;24061,125
20201112;15;23500;23636,463
20201112;16;23600;23346,388
20201112;17;24300;23845,175
20201112;18;24200;23908,150
20201112;19;23700;23538,800
20201112;20;23500;23261,375
20201112;21;22700;22588,413
20201112;22;21300;21256,175
20201112;23;19900;19731,925
20201112;24;18600;18584,163
20201113;1;17100;17548,888
20201113;2;16500;16975,663
20201113;3;16300;16673,100
20201113;4;16400;16704,663
20201113;5;16900;16966,613
20201113;6;18100;17683,438
20201113;7;21000;19839,450
20201113;8;22600;21600,625
20201113;9;23500;22998,738
20201113;10;23600;23523,063
20201113;11;23900;23655,563
20201113;12;24000;23920,288
20201113;13;24000;23743,925
20201113;14;24100;23576,913
20201113;15;23600;23104,088
20201113;16;23500;23045,588
20201113;17;24300;23839,475
20201113;18;24100;23806,275
20201113;19;23600;23454,175
20201113;20;23400;23163,325
20201113;21;22400;22446,875
20201113;22;21000;20968,100
20201113;23;19700;19570,938
20201113;24;18300;18393,275
20201114;1;17300;17403,575
20201114;2;16800;16786,163
20201114;3;16300;16348,875
20201114;4;16200;16297,238
20201114;5;16300;16328,188
20201114;6;16800;16543,738
20201114;7;18200;17481,925
20201114;8;19400;18369,700
20201114;9;20600;19572,188
20201114;10;21100;20502,775
20201114;11;21600;21114,288
20201114;12;21600;21309,513
20201114;13;21500;21120,425
20201114;14;21300;20793,863
20201114;15;20600;20128,938
20201114;16;20800;20003,025
20201114;17;21800;20923,250
20201114;18;21700;21035,338
20201114;19;21300;20785,188
20201114;20;20700;20362,125
20201114;21;20100;19645,588
20201114;22;18850;18619,125
20201114;23;17650;17513,038
20201114;24;16700;16459,163
20201115;1;15300;15521,150
20201115;2;14700;14878,138
20201115;3;14400;14568,413
20201115;4;14300;14359,300
20201115;5;14300;14380,888
20201115;6;14500;14484,413
20201115;7;14900;14648,913
20201115;8;15700;15088,475
20201115;9;16800;16089,850
20201115;10;17600;16786,675
20201115;11;18100;17276,063
20201115;12;18200;17450,925
20201115;13;18400;17521,563
20201115;14;18300;17477,388
20201115;15;17900;17226,988
20201115;16;18400;17330,463
20201115;17;19300;18466,113
20201115;18;19450;18931,400
20201115;19;19400;18979,600
20201115;20;19450;18926,613
20201115;21;18800;18546,888
20201115;22;18000;17756,025
20201115;23;17300;17141,975
20201115;24;16300;16249,550
20201116;1;15550;15526,963
20201116;2;15150;15146,375
20201116;3;14900;14957,775
20201116;4;15200;14862,013
20201116;5;15800;15333,188
20201116;6;17850;16491,425
20201116;7;20800;19123,550
20201116;8;22600;21225,725
20201116;9;23450;22717,375
20201116;10;23600;23058,175
20201116;11;23800;23089,163
20201116;12;23950;23381,775
20201116;13;24050;23504,013
20201116;14;23950;23576,775
20201116;15;23400;23298,838
20201116;16;23500;23238,863
20201116;17;24450;23941,038
20201116;18;24250;23882,600
20201116;19;23750;23562,313
20201116;20;23650;23306,325
20201116;21;22800;22634,413
20201116;22;21350;21255,813
20201116;23;19850;19690,363
20201116;24;18550;18508,388
20201117;1;17250;17485,513
20201117;2;16650;16947,975
20201117;3;16300;16592,788
20201117;4;16500;16568,938
20201117;5;17100;16905,613
20201117;6;18400;17640,550
20201117;7;21200;20002,900
20201117;8;22850;21916,600
20201117;9;23650;23132,713
20201117;10;23700;23415,288
20201117;11;23800;23435,450
20201117;12;24000;23376,875
20201117;13;24050;23656,013
20201117;14;24050;23553,450
20201117;15;23600;23190,863
20201117;16;23650;23191,063
20201117;17;24500;23992,688
20201117;18;24300;23938,238
20201117;19;23800;23599,000
20201117;20;23600;23412,325
20201117;21;22700;22823,813
20201117;22;21350;21285,525
20201117;23;19950;19928,713
20201117;24;18650;18743,438
