Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20180401;1;14100;14357,350
20180401;2;13400;13563,325
20180401;3;13050;13166,975
20180401;4;12850;12985,325
20180401;5;13000;12926,525
20180401;6;13050;13101,113
20180401;7;12750;12721,838
20180401;8;13950;13527,988
20180401;9;14750;14688,313
20180401;10;14850;15231,138
20180401;11;14650;15076,763
20180401;12;14650;14929,713
20180401;13;14600;14985,638
20180401;14;14600;14943,038
20180401;15;14300;14667,038
20180401;16;13950;14250,388
20180401;17;13700;14069,238
20180401;18;13900;14262,088
20180401;19;14400;14519,363
20180401;20;16200;15463,825
20180401;21;16150;16047,713
20180401;22;15800;15776,438
20180401;23;15200;15163,775
20180401;24;14300;14301,725
20180402;1;13700;13483,775
20180402;2;13250;12972,288
20180402;3;12950;12728,800
20180402;4;12850;12648,463
20180402;5;12850;12664,200
20180402;6;12650;12817,888
20180402;7;13150;12740,638
20180402;8;13950;13257,013
20180402;9;14750;14164,775
20180402;10;15350;15026,675
20180402;11;15450;15358,150
20180402;12;15450;15339,125
20180402;13;15250;15320,375
20180402;14;15250;15185,475
20180402;15;14950;14791,475
20180402;16;14450;14390,913
20180402;17;14350;14271,125
20180402;18;14650;14389,313
20180402;19;15250;14832,900
20180402;20;17100;16007,413
20180402;21;17150;17175,550
20180402;22;16550;16605,838
20180402;23;15850;15969,488
20180402;24;14850;15029,550
20180403;1;14050;14152,813
20180403;2;13550;13664,025
20180403;3;13400;13593,075
20180403;4;13500;13517,775
20180403;5;14000;13961,625
20180403;6;15250;14961,163
20180403;7;18250;17296,563
20180403;8;20350;19797,125
20180403;9;21650;21400,775
20180403;10;21950;21985,500
20180403;11;22300;22053,763
20180403;12;22500;22113,325
20180403;13;22600;22086,275
20180403;14;22700;22062,688
20180403;15;22200;21701,838
20180403;16;21700;21298,688
20180403;17;21200;21031,263
20180403;18;21000;20651,700
20180403;19;21000;20660,050
20180403;20;22600;21778,200
20180403;21;22400;22458,525
20180403;22;21150;20918,688
20180403;23;19650;19376,163
20180403;24;18250;18019,663
20180404;1;17050;16918,338
20180404;2;16450;16305,288
20180404;3;16150;16042,113
20180404;4;16350;16063,313
20180404;5;16750;16440,538
20180404;6;17650;17077,113
20180404;7;20550;19060,175
20180404;8;21850;21057,850
20180404;9;22550;22195,575
20180404;10;22650;22426,125
20180404;11;22600;22079,613
20180404;12;22700;22179,425
20180404;13;22750;22129,663
20180404;14;22750;22099,288
20180404;15;22250;21603,738
20180404;16;21850;21437,250
20180404;17;21550;21111,850
20180404;18;21350;20786,763
20180404;19;21600;20852,425
20180404;20;22900;21990,975
20180404;21;22900;22674,375
20180404;22;21800;21133,838
20180404;23;20100;19462,300
20180404;24;18550;18126,063
20180405;1;17050;17088,650
20180405;2;16500;16410,663
20180405;3;16150;16149,900
20180405;4;16300;16230,525
20180405;5;16650;16417,363
20180405;6;17550;17098,675
20180405;7;20450;18962,663
20180405;8;21750;20945,400
20180405;9;22450;21983,875
20180405;10;22550;22136,113
20180405;11;22500;21823,225
20180405;12;22600;21977,000
20180405;13;22650;22050,788
20180405;14;22650;21883,413
20180405;15;22150;21560,450
