Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20210701;1;17750;17535,900
20210701;2;16850;16614,438
20210701;3;16300;16278,888
20210701;4;16200;16209,450
20210701;5;15850;15942,788
20210701;6;16883;16365,213
20210701;7;20150;18776,325
20210701;8;21850;20750,563
20210701;9;22600;21745,313
20210701;10;22750;22195,450
20210701;11;22950;22227,325
20210701;12;23150;22390,275
20210701;13;23350;22931,225
20210701;14;23300;22932,700
20210701;15;22700;22575,088
20210701;16;22500;22450,838
20210701;17;22300;22314,300
20210701;18;22300;22123,188
20210701;19;22200;21781,663
20210701;20;22250;21743,888
20210701;21;22000;21563,300
20210701;22;21550;21115,188
20210701;23;20450;20113,950
20210701;24;19150;18906,250
20210702;1;17600;17676,575
20210702;2;16800;16927,100
20210702;3;16250;16584,425
20210702;4;16250;16363,563
20210702;5;15900;16142,988
20210702;6;16850;16676,388
20210702;7;19950;18819,750
20210702;8;21550;20406,388
20210702;9;22350;21431,850
20210702;10;22450;21880,900
20210702;11;22950;21823,750
20210702;12;23300;22615,825
20210702;13;23450;22498,500
20210702;14;23450;22272,938
20210702;15;22800;22139,438
20210702;16;22800;22123,575
20210702;17;22550;21743,338
20210702;18;22350;21794,813
20210702;19;22100;21588,813
20210702;20;22050;21441,063
20210702;21;21900;21207,850
20210702;22;21400;20832,738
20210702;23;20450;19964,388
20210702;24;19000;18673,588
20210703;1;17400;17299,813
20210703;2;16450;16566,013
20210703;3;15950;16062,338
20210703;4;15550;15730,875
20210703;5;15050;15261,138
20210703;6;15000;15059,138
20210703;7;16600;15960,738
20210703;8;18000;17153,375
20210703;9;19200;18207,213
20210703;10;19800;19201,075
20210703;11;20050;19706,213
20210703;12;20050;19848,050
20210703;13;20000;19723,450
20210703;14;19800;19142,050
20210703;15;19450;18462,888
20210703;16;19050;18562,425
20210703;17;18700;18355,588
20210703;18;18450;18411,675
20210703;19;18350;18471,888
20210703;20;18300;18436,575
20210703;21;18300;18157,338
20210703;22;18300;18165,800
20210703;23;17850;17669,188
20210703;24;16700;16456,213
20210704;1;15650;15248,700
20210704;2;14850;14462,013
20210704;3;14300;14015,600
20210704;4;14100;13805,363
20210704;5;13500;13308,763
20210704;6;13200;13004,438
20210704;7;14150;13530,338
20210704;8;15050;14314,400
20210704;9;16100;15318,888
20210704;10;16900;15975,788
20210704;11;17300;16881,588
20210704;12;17450;17177,675
20210704;13;17450;16987,250
20210704;14;17450;16963,913
20210704;15;17100;16525,813
20210704;16;16750;16484,025
20210704;17;16550;16703,250
20210704;18;16750;16952,000
20210704;19;17000;17251,163
20210704;20;17300;17323,663
20210704;21;17300;17320,825
20210704;22;17850;17428,713
20210704;23;17800;17284,975
20210704;24;16600;16113,700
20210705;1;15269;14971,263
20210705;2;14580;14459,350
20210705;3;14300;14176,525
20210705;4;14250;14219,488
20210705;5;14250;14183,675
20210705;6;16300;14868,413
20210705;7;19500;17826,125
20210705;8;21400;20260,213
20210705;9;22350;21572,513
20210705;10;22600;21918,063
20210705;11;23050;22086,425
20210705;12;23300;22263,088
20210705;13;23450;22745,900
20210705;14;23450;22698,250
20210705;15;23000;22630,350
20210705;16;22800;22161,875
20210705;17;22500;21907,075
20210705;18;22500;22167,538
20210705;19;22350;21836,238
20210705;20;22350;21948,100
20210705;21;22150;21828,350
20210705;22;21650;21376,550
20210705;23;20900;20352,363
20210705;24;19400;18730,613
20210706;1;17751;17484,125
20210706;2;16850;16666,375
20210706;3;16300;16228,325
20210706;4;16250;16162,825
20210706;5;15850;15738,963
20210706;6;16850;16261,675
20210706;7;20550;18869,163
20210706;8;22200;21150,838
20210706;9;23150;22358,000
20210706;10;23350;22614,238
20210706;11;23650;22487,488
20210706;12;23850;22867,138
20210706;13;24001;23075,688
20210706;14;23947;23177,250
20210706;15;23396;22727,188
20210706;16;23246;22756,675
20210706;17;22896;22733,825
20210706;18;22900;22699,538
20210706;19;22700;22641,425
20210706;20;22601;22701,425
20210706;21;22400;22342,275
20210706;22;22000;21914,838
20210706;23;21150;20853,550
20210706;24;19550;19241,700
20210707;1;17950;17766,963
20210707;2;17050;16976,988
20210707;3;16500;16620,175
20210707;4;16500;16457,863
20210707;5;16050;16207,725
20210707;6;17150;16642,913
20210707;7;20850;19272,663
20210707;8;22500;21399,675
20210707;9;23450;22680,975
20210707;10;23700;23068,500
20210707;11;23950;23292,788
20210707;12;24200;23466,925
20210707;13;24300;23726,038
20210707;14;24300;23720,950
20210707;15;23750;23100,200
20210707;16;23600;23010,700
20210707;17;23250;22653,475
20210707;18;23100;22301,125
20210707;19;22900;22416,388
20210707;20;22800;22391,738
20210707;21;22600;22152,725
20210707;22;22300;21838,813
20210707;23;21550;20776,800
20210707;24;20050;19235,763
20210708;1;18050;17903,463
20210708;2;17150;17147,213
20210708;3;16700;16810,988
20210708;4;16500;16817,125
20210708;5;16250;16551,400
20210708;6;17700;16892,475
20210708;7;20900;19170,100
20210708;8;22600;20958,975
20210708;9;23450;22117,763
20210708;10;23700;22786,063
20210708;11;23950;22728,738
20210708;12;24200;23240,950
20210708;13;24300;23537,950
20210708;14;24300;23624,750
20210708;15;23750;23422,313
20210708;16;23650;23288,850
20210708;17;23400;22779,438
20210708;18;23300;22653,763
20210708;19;23150;22330,400
20210708;20;23100;22342,975
20210708;21;22800;22140,625
20210708;22;22400;21795,000
20210708;23;21550;20640,088
20210708;24;20150;19114,025
20210709;1;18200;17807,438
20210709;2;17300;16906,475
20210709;3;16850;16522,850
20210709;4;16650;16452,625
20210709;5;16400;16379,338
20210709;6;17700;16754,400
20210709;7;20750;19214,613
20210709;8;22500;21305,388
20210709;9;23250;22672,413
20210709;10;23500;23260,850
20210709;11;23750;23753,050
20210709;12;24000;23971,800
20210709;13;24150;23879,700
20210709;14;24150;23745,975
20210709;15;23550;23259,538
20210709;16;23500;23347,850
20210709;17;23200;22966,588
20210709;18;23100;22335,025
20210709;19;22950;22166,238
20210709;20;22900;21851,850
20210709;21;22600;21419,575
20210709;22;22250;20900,125
20210709;23;21400;19735,238
20210709;24;20000;18539,900
20210710;1;17700;17334,238
20210710;2;16750;16589,438
20210710;3;16250;16052,438
20210710;4;15850;15889,925
20210710;5;15350;15372,850
20210710;6;15350;15162,938
20210710;7;16950;16105,638
20210710;8;18250;17341,075
20210710;9;19400;18433,163
20210710;10;20050;19097,013
20210710;11;20300;19601,063
20210710;12;20300;19967,938
20210710;13;20250;19739,338
20210710;14;19950;19378,075
20210710;15;19450;18974,538
20210710;16;19050;18665,450
20210710;17;18900;18507,963
20210710;18;18750;18584,225
20210710;19;18700;18816,625
20210710;20;18700;18660,425
20210710;21;18700;18333,113
20210710;22;18450;18276,788
20210710;23;18150;17744,213
20210710;24;17000;16489,800
20210711;1;15650;15348,188
20210711;2;14850;14575,550
20210711;3;14250;14151,025
20210711;4;14000;13791,563
20210711;5;13400;13289,700
20210711;6;13200;13079,713
20210711;7;14100;13843,488
20210711;8;15050;14632,225
20210711;9;16050;15498,113
20210711;10;16850;16260,563
20210711;11;17500;16992,013
20210711;12;17750;17147,200
20210711;13;17750;17060,375
20210711;14;17800;17100,450
20210711;15;17600;16914,138
20210711;16;17750;16975,713
20210711;17;17950;16917,588
20210711;18;18150;17188,388
20210711;19;18350;17496,075
20210711;20;18450;17798,800
20210711;21;18400;17916,925
20210711;22;18550;17944,663
20210711;23;18500;17503,063
20210711;24;17300;16430,050
20210712;1;15869;15388,575
20210712;2;15180;14876,063
20210712;3;14900;14540,025
20210712;4;14850;14556,825
20210712;5;14800;14474,650
20210712;6;16800;15136,188
20210712;7;19950;18049,013
20210712;8;21750;20374,438
20210712;9;22750;21662,863
20210712;10;23000;22334,163
20210712;11;23450;22914,663
20210712;12;23850;23106,813
20210712;13;24100;23496,813
20210712;14;24100;23396,863
20210712;15;23600;23446,850
20210712;16;23400;23266,000
20210712;17;23150;22657,700
20210712;18;23050;22517,025
20210712;19;22950;22111,863
20210712;20;22900;22132,663
20210712;21;22650;21942,588
20210712;22;22250;21538,688
20210712;23;21350;20261,288
20210712;24;19900;18846,825
20210713;1;18482;17564,300
20210713;2;17414;16825,013
20210713;3;16959;16449,600
20210713;4;16850;16380,613
20210713;5;16650;16176,325
20210713;6;17839;16562,750
20210713;7;20850;18907,263
20210713;8;22650;21121,200
20210713;9;23550;22295,125
20210713;10;23900;22659,000
20210713;11;24250;22694,088
20210713;12;24450;22899,588
20210713;13;24500;23282,613
20210713;14;24500;23440,725
20210713;15;24000;23291,563
20210713;16;23900;23314,450
20210713;17;23450;23032,663
20210713;18;23200;23017,113
20210713;19;22950;22939,950
20210713;20;22850;22823,575
20210713;21;22650;22533,738
20210713;22;22350;22333,775
20210713;23;21450;21074,288
20210713;24;20050;19438,850
20210714;1;18300;18144,250
20210714;2;17300;17364,213
20210714;3;16850;16920,763
20210714;4;16700;16777,238
20210714;5;16550;16617,238
20210714;6;17750;16934,263
20210714;7;20800;19374,088
20210714;8;22500;21395,325
20210714;9;23500;22745,550
20210714;10;23850;23380,950
20210714;11;24400;23472,250
20210714;12;24500;23912,863
20210714;13;24500;24181,188
20210714;14;24500;24124,125
20210714;15;24000;23805,800
20210714;16;23850;23919,063
20210714;17;23500;23731,988
20210714;18;23250;23524,363
20210714;19;23200;23195,513
20210714;20;23200;22942,138
20210714;21;22850;22523,988
20210714;22;22350;21866,663
20210714;23;21450;20342,825
20210714;24;20050;19041,338
20210715;1;18400;17860,988
20210715;2;17400;17092,638
20210715;3;16900;16827,163
20210715;4;16700;16894,725
20210715;5;16650;16726,188
20210715;6;17750;17062,738
20210715;7;20650;19249,200
20210715;8;22400;21115,138
20210715;9;23200;22441,288
20210715;10;23500;23100,300
20210715;11;23900;23501,213
20210715;12;24000;24197,963
20210715;13;24250;24316,075
20210715;14;24250;24094,063
20210715;15;23900;23438,350
20210715;16;23850;23393,988
20210715;17;23500;22979,738
20210715;18;23400;22818,613
20210715;19;23200;22685,513
20210715;20;23150;22808,600
20210715;21;23000;22564,850
20210715;22;22950;22329,575
20210715;23;21700;21211,213
20210715;24;20200;19620,100
20210716;1;18350;18314,588
20210716;2;17300;17500,513
20210716;3;16900;17102,463
20210716;4;16800;17027,388
20210716;5;16700;16791,725
20210716;6;17800;17050,825
20210716;7;20700;19436,950
20210716;8;22450;21611,150
20210716;9;23450;22683,738
20210716;10;23700;23197,413
20210716;11;23950;23501,138
20210716;12;24200;24007,763
20210716;13;24400;24036,225
20210716;14;24400;23993,800
20210716;15;24000;23639,750
20210716;16;23900;23286,975
20210716;17;23650;23091,913
20210716;18;23450;23048,050
20210716;19;23200;22794,163
20210716;20;23150;22368,988
20210716;21;22900;21998,663
20210716;22;22700;21780,850
20210716;23;21450;20772,013
20210716;24;19750;19243,763
20210717;1;17900;17932,625
20210717;2;16950;17041,475
20210717;3;16450;16531,913
20210717;4;16050;16281,688
20210717;5;15550;15840,575
20210717;6;15650;15627,575
20210717;7;17250;16749,638
20210717;8;18550;18115,175
20210717;9;19700;19258,713
20210717;10;20250;20200,988
20210717;11;20600;20436,063
20210717;12;20600;20829,988
20210717;13;20650;20677,500
20210717;14;20550;20246,850
20210717;15;20050;19680,150
20210717;16;19750;20024,388
20210717;17;19700;19814,675
20210717;18;19650;19553,100
20210717;19;19750;19467,488
20210717;20;19650;19327,050
20210717;21;19300;18955,363
20210717;22;19000;19011,100
20210717;23;18650;18068,025
20210717;24;17500;16790,238
20210718;1;15750;15687,638
20210718;2;14950;14964,813
20210718;3;14400;14366,613
20210718;4;14200;14142,725
20210718;5;13600;13791,925
20210718;6;13600;13383,113
20210718;7;14650;13845,250
20210718;8;15550;14561,850
20210718;9;16400;15376,688
20210718;10;17250;16174,888
20210718;11;17900;16733,463
20210718;12;18150;16905,075
20210718;13;18150;17086,213
20210718;14;18150;17223,250
20210718;15;17950;16907,675
20210718;16;17850;16718,013
20210718;17;18050;16795,275
20210718;18;18250;16964,913
20210718;19;18350;17355,225
20210718;20;18400;17599,450
20210718;21;18400;17615,975
20210718;22;18450;17989,838
20210718;23;18400;17651,838
20210718;24;17200;16551,788
20210719;1;15469;15455,813
20210719;2;14780;14866,225
20210719;3;14500;14632,188
20210719;4;14450;14589,938
20210719;5;14400;14553,138
20210719;6;16500;15100,725
20210719;7;19550;17688,688
20210719;8;21250;19940,900
20210719;9;22300;21359,663
20210719;10;22650;21807,350
20210719;11;23350;22209,713
20210719;12;23600;22547,638
20210719;13;23850;22730,088
20210719;14;23850;22576,875
20210719;15;23400;22171,838
20210719;16;23200;22115,463
20210719;17;22950;21751,975
20210719;18;22900;21544,150
20210719;19;22550;21456,350
20210719;20;22450;21466,950
20210719;21;22200;21299,550
20210719;22;22000;20872,150
20210719;23;20900;19772,688
20210719;24;19500;18345,338
20210720;1;17450;17211,063
20210720;2;16514;16370,413
20210720;3;16059;16042,750
20210720;4;15950;15975,275
20210720;5;15750;15865,400
20210720;6;16939;16157,175
20210720;7;20150;18365,563
20210720;8;21600;20402,288
20210720;9;22450;21460,588
20210720;10;22700;21766,825
20210720;11;23000;21739,413
20210720;12;23200;22456,900
20210720;13;23500;22754,475
20210720;14;23500;22848,338
20210720;15;23100;22313,663
20210720;16;23000;22092,050
20210720;17;22750;21892,850
20210720;18;22500;21435,838
20210720;19;22300;21266,513
20210720;20;22200;21467,600
20210720;21;22000;21366,575
20210720;22;21750;21058,550
20210720;23;20950;19807,225
20210720;24;19550;18276,925
20210721;1;17982;17091,313
20210721;2;16914;16313,950
20210721;3;16459;15971,425
20210721;4;16350;15947,888
20210721;5;16150;15865,488
20210721;6;17239;16066,475
20210721;7;20150;18410,675
20210721;8;21450;20500,088
20210721;9;22350;21641,888
20210721;10;22700;21933,988
20210721;11;23050;21965,813
20210721;12;23250;22315,488
20210721;13;23500;22671,450
20210721;14;23500;22734,738
20210721;15;23100;22341,900
20210721;16;23000;21964,038
20210721;17;22750;21810,800
20210721;18;22500;21475,125
20210721;19;22250;21330,425
20210721;20;22150;21412,013
20210721;21;21950;21489,213
20210721;22;21650;21255,075
20210721;23;20750;19852,875
20210721;24;19350;18455,488
20210722;1;17782;17301,250
20210722;2;16714;16489,750
20210722;3;16259;16155,963
20210722;4;16150;16022,513
20210722;5;15950;16025,550
20210722;6;16939;16181,813
20210722;7;19750;18418,413
20210722;8;21250;20392,700
20210722;9;22150;21460,513
20210722;10;22500;21907,000
20210722;11;22850;22368,450
20210722;12;23050;22799,400
20210722;13;23300;22804,363
20210722;14;23300;22671,063
20210722;15;22900;22667,175
20210722;16;22800;22595,600
20210722;17;22550;22057,750
20210722;18;22300;21658,550
20210722;19;22050;21546,988
20210722;20;22000;21646,300
20210722;21;21800;21579,938
20210722;22;21500;21332,000
20210722;23;20600;20035,875
20210722;24;19200;18655,913
20210723;1;17782;17389,563
20210723;2;16714;16669,613
20210723;3;16259;16334,238
20210723;4;16150;16224,100
20210723;5;15950;16224,475
20210723;6;17039;16401,800
20210723;7;19850;18435,763
