Data;Godz.;Dobowa prognoza zapotrzebowania KSE;Rzeczywiste zapotrzebowanie KSE
20220401;1;18800;18477,763
20220401;2;18150;17925,788
20220401;3;17900;17658,538
20220401;4;18100;17782,025
20220401;5;18450;18078,350
20220401;6;19700;18884,000
20220401;7;22150;20911,213
20220401;8;23450;22872,213
20220401;9;24100;24122,175
20220401;10;24100;24515,463
20220401;11;24050;24568,538
20220401;12;24200;24882,063
20220401;13;24250;24795,463
20220401;14;24450;24731,200
20220401;15;24000;24266,338
20220401;16;23750;24110,038
20220401;17;23550;23953,163
20220401;18;23550;23618,550
20220401;19;23750;23416,513
20220401;20;24800;23975,488
20220401;21;24700;23999,113
20220401;22;23350;22363,125
20220401;23;21350;20853,625
20220401;24;20000;19574,263
20220402;1;18700;18506,125
20220402;2;17950;17975,313
20220402;3;17450;17461,338
20220402;4;17250;17425,550
20220402;5;17250;17439,438
20220402;6;17150;17429,313
20220402;7;18250;17845,088
20220402;8;19300;19010,963
20220402;9;20300;20513,575
20220402;10;20900;21578,563
20220402;11;21200;22120,513
20220402;12;21200;22340,050
20220402;13;21200;22287,913
20220402;14;21200;21908,050
20220402;15;20800;21283,675
20220402;16;20600;20933,725
20220402;17;20250;20614,663
20220402;18;20200;20623,188
20220402;19;20100;20559,425
20220402;20;20900;21095,225
20220402;21;20850;21233,988
20220402;22;19900;20159,250
20220402;23;18850;19101,700
20220402;24;17600;17871,475
20220403;1;16600;16748,975
20220403;2;16150;16165,563
20220403;3;15700;15646,288
20220403;4;15600;15561,588
20220403;5;15550;15630,013
20220403;6;15600;15635,613
20220403;7;15750;15542,288
20220403;8;16250;16230,938
20220403;9;16800;17228,888
20220403;10;17400;18164,213
20220403;11;17800;18774,663
20220403;12;17950;19274,388
20220403;13;17950;19066,000
20220403;14;17950;19245,263
20220403;15;17950;18830,713
20220403;16;17650;18415,100
20220403;17;17650;18302,875
20220403;18;17950;18465,400
20220403;19;18550;19048,213
20220403;20;19900;19948,988
20220403;21;20050;20287,863
20220403;22;19500;19404,463
20220403;23;18700;18527,063
20220403;24;17750;17458,038
20220404;1;16700;16595,063
20220404;2;16250;16285,463
20220404;3;16050;16119,513
20220404;4;16150;16145,350
20220404;5;17100;16591,550
20220404;6;18950;17732,450
20220404;7;21750;20379,113
20220404;8;23000;22529,275
20220404;9;23700;23372,788
20220404;10;23700;23622,988
20220404;11;23800;23336,425
20220404;12;23900;23371,850
20220404;13;24100;23436,050
20220404;14;24150;23347,263
20220404;15;23800;23020,388
20220404;16;23800;23289,213
20220404;17;23600;23189,150
20220404;18;23600;23299,213
20220404;19;23600;23287,775
20220404;20;24500;24131,425
20220404;21;24500;24288,650
20220404;22;23500;22647,900
20220404;23;21500;21006,613
20220404;24;20200;19544,775
20220405;1;18800;18497,263
20220405;2;18150;18014,825
20220405;3;17750;17723,088
20220405;4;17850;17768,300
20220405;5;18400;18152,638
20220405;6;19700;18991,725
20220405;7;22500;21155,838
20220405;8;23850;23150,513
20220405;9;24300;24133,613
20220405;10;24350;24399,163
20220405;11;24450;24050,288
20220405;12;24650;24212,013
20220405;13;24750;24103,125
20220405;14;24800;24240,075
20220405;15;24500;23701,750
20220405;16;24300;23838,175
20220405;17;24200;23486,988
20220405;18;24050;23418,763
20220405;19;23850;23314,338
20220405;20;24400;24004,075
20220405;21;24400;24224,363
20220405;22;23300;22759,738
20220405;23;21450;21134,100
20220405;24;20150;19690,488
20220406;1;18900;18507,513
20220406;2;18250;17921,788
20220406;3;17850;17651,750
20220406;4;17950;17685,850
20220406;5;18500;18111,050
20220406;6;19700;18859,838
20220406;7;22500;20946,363
20220406;8;23950;22955,738
20220406;9;24500;23900,450
20220406;10;24550;24067,075
20220406;11;24650;23814,050
20220406;12;24850;24176,538
20220406;13;24950;24183,688
20220406;14;25000;23971,363
20220406;15;24450;23506,850
20220406;16;24200;23481,263
20220406;17;24100;22862,300
20220406;18;23850;23139,875
20220406;19;23850;23106,750
20220406;20;24400;23724,738
20220406;21;24300;24057,788
20220406;22;23200;22589,463
20220406;23;21350;20864,688
20220406;24;20050;19404,150
20220407;1;17985;18297,775
20220407;2;17591;17600,213
20220407;3;17370;17384,138
20220407;4;17390;17435,250
20220407;5;17786;17729,625
20220407;6;18624;18266,538
20220407;7;20786;20337,838
20220407;8;22494;22163,538
20220407;9;23152;22523,950
20220407;10;22677;22288,225
20220407;11;22272;21680,400
20220407;12;22184;21659,688
20220407;13;22092;22092,938
20220407;14;21840;21904,925
20220407;15;22244;21792,750
20220407;16;22260;21827,938
20220407;17;22677;22074,900
20220407;18;22809;22448,263
20220407;19;22763;22326,438
20220407;20;23566;23108,563
